,test_data,model_type,clf,parameters,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,p_at_70,p_at_100,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,r_at_70,r_at_100,f_at_1,f_at_2,f_at_5,f_at_10,f_at_20,f_at_30,f_at_50,f_at_70,f_at_100,acc_at_1,acc_at_2,acc_at_5,acc_at_10,acc_at_20,acc_at_30,acc_at_50,acc_at_70,acc_at_100
0,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2}",0.7036691879977124,0.4631578947368421,0.46842105263157896,0.47368421052631576,0.3070452155625657,0.21019442984760903,0.16713384723195515,0.12507883119613203,0.10960960960960961,0.08712559117183395,0.05307599517490953,0.10735826296743065,0.27141133896260555,0.35223160434258144,0.4825090470446321,0.5753920386007237,0.7177322074788902,0.8805790108564535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5}",0.698980889897557,0.4631578947368421,0.4421052631578947,0.47157894736842104,0.3049421661409043,0.20809248554913296,0.1657323055360897,0.12423796510405719,0.10885885885885886,0.08712559117183395,0.05307599517490953,0.10132689987937274,0.27020506634499397,0.3498190591073583,0.4776839565741858,0.5705669481302774,0.7129071170084439,0.8745476477683957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10}",0.7022435615233754,0.6842105263157895,0.5578947368421052,0.47368421052631576,0.3017875920084122,0.20756699947451393,0.16608269096005607,0.12381753205801976,0.109009009009009,0.08712559117183395,0.07840772014475271,0.1278648974668275,0.27141133896260555,0.34620024125452353,0.4764776839565742,0.571773220747889,0.7104945717732207,0.8757539203860072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2}",0.6445605798552195,0.23157894736842105,0.29473684210526313,0.28842105263157897,0.2502628811777077,0.18917498686284814,0.1513665031534688,0.11477822156821527,0.09984984984984985,0.08712559117183395,0.026537997587454766,0.06755126658624849,0.1652593486127865,0.2870928829915561,0.43425814234016885,0.5211097708082026,0.6586248492159228,0.8021712907117008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 5}",0.653316471995616,0.2,0.14210526315789473,0.20421052631578948,0.26498422712933756,0.18549658434051497,0.1552207428170988,0.11772125289047719,0.1012012012012012,0.08712559117183395,0.022919179734620022,0.032569360675512665,0.11700844390832328,0.3039806996381182,0.42581423401688784,0.53437876960193,0.6755126658624849,0.8130277442702051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10}",0.6529905311904658,0.3368421052631579,0.32105263157894737,0.3831578947368421,0.26393270241850686,0.17183394640042038,0.15416958654519972,0.120033634643683,0.10045045045045045,0.08712559117183395,0.038600723763570564,0.0735826296743064,0.2195416164053076,0.3027744270205066,0.3944511459589867,0.5307599517490953,0.6887816646562123,0.8069963811821471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2}",0.645649363797434,0.29473684210526313,0.24736842105263157,0.24,0.24079915878023134,0.17761429322122962,0.15416958654519972,0.11372713895312171,0.0990990990990991,0.08712559117183395,0.033775633293124246,0.05669481302774427,0.13751507840772015,0.2762364294330519,0.4077201447527141,0.5307599517490953,0.6525934861278649,0.7961399276236429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 5}",0.6500942825788737,0.2,0.26842105263157895,0.2631578947368421,0.26603575184016826,0.17078297425118236,0.15557112824106517,0.11393735547614042,0.10075075075075075,0.08712559117183395,0.022919179734620022,0.061519903498190594,0.15078407720144751,0.30518697225572977,0.39203860072376356,0.5355850422195416,0.6537997587454765,0.8094089264173703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10}",0.6524925236373049,0.21052631578947367,0.2894736842105263,0.35368421052631577,0.26919032597266035,0.1723594324750394,0.1545199719691661,0.11477822156821527,0.1006006006006006,0.08712559117183395,0.024125452352231604,0.06634499396863691,0.20265379975874548,0.3088057901085645,0.3956574185765983,0.5319662243667069,0.6586248492159228,0.8082026537997588,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 200, 'min_samples_split': 2}",0.6399018622371677,0.21052631578947367,0.24210526315789474,0.2505263157894737,0.23764458464773922,0.17078297425118236,0.15171688857743518,0.11288627286104688,0.09834834834834835,0.08712559117183395,0.024125452352231604,0.05548854041013269,0.14354644149577805,0.27261761158021713,0.39203860072376356,0.5223160434258143,0.6477683956574186,0.7901085645355851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
