,test_data,model_type,clf,parameters,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,p_at_70,p_at_100,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,r_at_70,r_at_100,f_at_1,f_at_2,f_at_5,f_at_10,f_at_20,f_at_30,f_at_50,f_at_70,f_at_100,acc_at_1,acc_at_2,acc_at_5,acc_at_10,acc_at_20,acc_at_30,acc_at_50,acc_at_70,acc_at_100
0,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 2}",0.6573093744037481,0.6736842105263158,0.6789473684210526,0.68,0.7423764458464774,0.7488176563321072,0.7077785564120532,0.6565062013874291,0.6147147147147147,0.5447188649500788,0.012348060968551032,0.024889060389735675,0.06231912020065599,0.13621454755932857,0.2749372950028941,0.389735674319892,0.6025467875747637,0.7898900250819988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 5}",0.6596359262087915,0.6631578947368421,0.6789473684210526,0.6631578947368421,0.7634069400630915,0.7488176563321072,0.7077785564120532,0.6588185831406349,0.615015015015015,0.5447188649500788,0.012155122515917422,0.024889060389735675,0.060775612579587114,0.14007331661200076,0.2749372950028941,0.389735674319892,0.6046691105537334,0.790275901987266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 10}",0.6633109761670238,0.7578947368421053,0.7368421052631579,0.7242105263157895,0.7896950578338591,0.7514450867052023,0.7098808689558515,0.6586083666176161,0.6162162162162163,0.5447188649500788,0.013891568589619912,0.027011383368705382,0.0663708277059618,0.14489677792784103,0.27590198726606213,0.39089330503569364,0.6044761721010997,0.791819409608335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 2}",0.6240510519065009,0.6842105263157895,0.7,0.6926315789473684,0.7003154574132492,0.6857593273778245,0.681499649614576,0.647887323943662,0.6004504504504504,0.5447188649500788,0.012540999421184642,0.025660814200270114,0.06347675091645764,0.12849700945398418,0.2517846806868609,0.3752652903723712,0.5946363110167856,0.7715608720818059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 5}",0.6276121960261805,0.6631578947368421,0.6526315789473685,0.6568421052631579,0.6887486855941115,0.6915396741986337,0.6864050455501051,0.6466260248055498,0.6012012012012012,0.5447188649500788,0.012155122515917422,0.023924368126567626,0.060196797221686284,0.12637468647501446,0.2539070036658306,0.37796642870924174,0.5934786803009839,0.772525564344974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 50, 'min_samples_split': 10}",0.6284401567451229,0.6210526315789474,0.6578947368421053,0.6736842105263158,0.7076761303890642,0.7015239096163952,0.6822004204625087,0.6424216943451755,0.6006006006006006,0.5447188649500788,0.011383368705382983,0.024117306579201234,0.06174030484275516,0.12984757862241944,0.2575728342658692,0.3756511672776384,0.5896199112483118,0.7717538105344395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 2}",0.6206267506759526,0.6631578947368421,0.6684210526315789,0.6421052631578947,0.6645636172450052,0.6820809248554913,0.6657323055360898,0.6462055917595123,0.5978978978978979,0.5447188649500788,0.012155122515917422,0.024503183484468456,0.058846228053251015,0.12193710206444144,0.2504341115184256,0.36658306000385876,0.5930928033957168,0.7682809183870345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 5}",0.6189588039882499,0.6631578947368421,0.6473684210526316,0.6631578947368421,0.6740273396424816,0.6826064109301103,0.6681850035038542,0.641370611730082,0.6,0.5447188649500788,0.012155122515917422,0.023731429673934015,0.060775612579587114,0.12367354813814393,0.2506270499710592,0.36793362917229405,0.5886552189851437,0.7709820567239051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 100, 'min_samples_split': 10}",0.6319330909755578,0.6842105263157895,0.6684210526315789,0.7178947368421053,0.7171398527865405,0.6941671045717288,0.6867554309740714,0.6472566743746059,0.6028528528528528,0.5447188649500788,0.012540999421184642,0.024503183484468456,0.06579201234806097,0.13158402469612193,0.25487169592899866,0.37815936716187537,0.5940574956588848,0.7746478873239436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,test1,DT,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=200,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 200, 'min_samples_split': 2}",0.6180054911744465,0.6947368421052632,0.6789473684210526,0.6842105263157895,0.6782334384858044,0.674724119810825,0.665031534688157,0.6472566743746059,0.5972972972972973,0.5447188649500788,0.012733937873818251,0.024889060389735675,0.06270499710592321,0.12444530194867837,0.24773297318155507,0.36619718309859156,0.5940574956588848,0.7675091645765001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
